"X1","X2"
0.564245,0.573220
0.482677,0.590576
0.535010,0.575761
0.483634,0.027552
0.698641,0.738864
0.463605,0.080347
0.273774,0.819277
0.813865,0.910975
0.166370,0.682505
0.448294,0.387019
0.655778,0.565103
0.134297,0.194450
0.964034,0.444301
0.844321,0.417343
0.374183,0.780670
0.983271,0.270903
0.133736,0.593876
0.868112,0.143272
0.442256,0.641985
0.623243,0.417805
0.571042,0.860127
0.644988,0.936943
0.289283,0.148914
0.465716,0.612453
0.634891,0.338448
0.562760,0.211113
0.228767,0.310302
0.117798,0.370125
0.142876,0.659374
0.431004,0.408665
0.699234,0.288062
0.565169,0.545008
0.640665,0.738237
0.550155,0.972547
0.073418,0.272520
0.554049,0.871973
0.739227,0.974362
0.403583,0.584670
0.010493,0.559889
0.794265,0.297763
0.814888,0.213522
0.341286,0.724609
0.357916,0.628654
0.201610,0.124992
0.474230,0.497888
0.090576,0.633967
0.488022,0.038705
0.449053,0.657098
0.785554,0.017059
0.325315,0.934138
0.627071,0.666535
0.225533,0.640203
0.564872,0.111331
0.589883,0.148320
0.866726,0.510295
0.205273,0.767868
0.100508,0.068897
0.186333,0.849964
0.861876,0.188939
0.375866,0.496535
0.271002,0.401274
0.339900,0.016795
0.120933,0.888735
0.678908,0.857388
0.089520,0.465881
0.307464,0.128951
0.574606,0.178908
0.254339,0.771266
0.490563,0.653468
0.883521,0.392794
0.077179,0.558272
0.197255,0.019666
0.729460,0.382466
0.733485,0.781924
0.421831,0.486570
0.130667,0.687356
0.343364,0.221276
0.713390,0.058272
0.985712,0.022504
0.551277,0.870554
0.265261,0.730317
0.358147,0.610473
0.241107,0.997954
0.228008,0.642480
0.988055,0.502937
0.951891,0.502277
0.767967,0.388768
0.317990,0.865901
0.374480,0.930113
0.034020,0.974164
0.817198,0.550617
0.736257,0.703029
0.895796,0.917046
0.176104,0.726754
0.112750,0.997558
0.279615,0.574375
0.812545,0.789217
0.940705,0.740810
0.855243,0.415198
0.241767,0.411767
0.340857,0.821553
0.284564,0.302547
0.658879,0.036428
0.664687,0.265492
0.657725,0.663136
0.467201,0.055633
0.888801,0.568501
0.979971,0.779021
0.569524,0.987164
0.385435,0.786676
0.907279,0.303801
0.139609,0.252095
0.872435,0.358972
0.181383,0.741140
0.015508,0.471953
0.651884,0.173200
0.468521,0.789448
0.114466,0.780539
0.573022,0.248202
0.983535,0.689302
0.178875,0.556127
0.586716,0.650795
0.325051,0.933116
0.581931,0.490596
0.506929,0.379727
0.682076,0.310863
0.631195,0.466607
0.930839,0.253811
0.168185,0.654095
0.758629,0.500627
0.721243,0.104996
0.328549,0.058668
0.179997,0.090609
0.778559,0.584274
0.129149,0.491784
0.083812,0.584043
0.331354,0.452056
0.659605,0.751039
0.788821,0.174520
0.883917,0.016432
0.144889,0.826305
0.775193,0.119778
0.553653,0.601201
0.671517,0.403187
0.825678,0.345971
0.186300,0.505082
0.856233,0.871181
0.411041,0.838151
0.285653,0.157197
0.845080,0.036923
0.503960,0.350624
0.174256,0.305286
0.796806,0.507490
0.249324,0.285455
0.632944,0.096648
0.229855,0.622847
0.303999,0.126147
0.982182,0.696529
0.947568,0.799017
0.028806,0.426351
0.925724,0.330001
0.293638,0.758266
0.210486,0.417409
0.992015,0.792021
0.628951,0.223190
0.547152,0.387448
0.559988,0.638883
0.754834,0.884346
0.072362,0.102554
0.373490,0.638718
0.864779,0.855969
0.872402,0.221837
0.175741,0.154755
0.050683,0.616974
0.666535,0.115951
0.973702,0.942883
0.497492,0.170461
0.068369,0.318386
0.690787,0.760575
0.120735,0.814690
0.645054,0.122088
0.300568,0.998482
0.395367,0.733287
0.605590,0.121230
0.552432,0.850921
0.462747,0.353527
0.127071,0.804725
0.728371,0.408170
0.547284,0.202930
0.582558,0.902858
0.614136,0.286379
0.013760,0.255560
0.352834,0.954893
0.332706,0.236257
0.890946,0.634858
0.346697,0.191942
0.283244,0.012968
0.433182,0.230383
0.071603,0.624662
0.243714,0.438296
0.673761,0.384445
0.209331,0.122418
0.794529,0.055204
0.860028,0.494721
0.059889,0.089124
0.240711,0.328879
0.160298,0.565301
0.410117,0.228503
0.127664,0.301161
0.829935,0.798093
0.914175,0.267439
0.318848,0.997987
0.521184,0.648155
0.119514,0.479080
0.436283,0.399063
0.601993,0.636574
0.937438,0.487065
0.296641,0.772487
0.723949,0.863459
0.791229,0.510130
0.295783,0.739491
0.577245,0.188181
0.705735,0.366000
0.676698,0.949977
0.711509,0.390649
0.664093,0.189368
0.556160,0.570316
0.100310,0.091137
0.152478,0.675081
0.072890,0.110077
0.463770,0.932687
0.301986,0.416815
0.637992,0.689863
0.093117,0.652610
0.922491,0.245232
0.740711,0.178513
0.657494,0.703161
0.427704,0.939748
0.134990,0.631327
0.082492,0.584703
0.105656,0.565565
0.066521,0.273906
0.374810,0.110308
0.090444,0.972415
0.465452,0.249819
0.589751,0.967399
0.844156,0.387184
0.345971,0.593480
0.159110,0.075167
0.206989,0.928265
0.393915,0.656339
0.357322,0.886557
0.100046,0.482809
0.107338,0.040355
0.354286,0.940870
0.580974,0.824292
